,Propositions
2906,"blue = 10, green = 10, red = 30, yellow = 20"
2907,"blue = 10, green = 10, red = 30, yellow = 30"
2908,"blue = 10, green = 10, red = 30, yellow = 40"
2909,"blue = 10, green = 10, red = 30, yellow = 50"
2910,"blue = 10, green = 20, purple = 10, red = 30"
2911,"blue = 10, green = 20, purple = 20, red = 30"
2912,"blue = 10, green = 20, purple = 30, red = 30"
2913,"blue = 10, green = 20, purple = 40, red = 30"
2914,"blue = 10, green = 20, purple = 50, red = 30"
2915,"blue = 10, green = 20, red = 30, yellow = 10"
2916,"blue = 10, green = 20, red = 30, yellow = 20"
2917,"blue = 10, green = 20, red = 30, yellow = 30"
2918,"blue = 10, green = 20, red = 30, yellow = 40"
2919,"blue = 10, green = 20, red = 30, yellow = 50"
2920,"blue = 10, green = 30, purple = 10, red = 30"
2921,"blue = 10, green = 30, purple = 20, red = 30"
2922,"blue = 10, green = 30, purple = 30, red = 30"
2923,"blue = 10, green = 30, purple = 40, red = 30"
2924,"blue = 10, green = 30, purple = 50, red = 30"
2925,"blue = 10, green = 30, red = 30, yellow = 10"
2926,"blue = 10, green = 30, red = 30, yellow = 20"
2927,"blue = 10, green = 30, red = 30, yellow = 30"
2928,"blue = 10, green = 30, red = 30, yellow = 40"
2929,"blue = 10, green = 30, red = 30, yellow = 50"
2930,"blue = 10, green = 40, purple = 10, red = 30"
2931,"blue = 10, green = 40, purple = 20, red = 30"
2932,"blue = 10, green = 40, purple = 30, red = 30"
2933,"blue = 10, green = 40, purple = 40, red = 30"
2934,"blue = 10, green = 40, purple = 50, red = 30"
2935,"blue = 10, green = 40, red = 30, yellow = 10"
2936,"blue = 10, green = 40, red = 30, yellow = 20"
2937,"blue = 10, green = 40, red = 30, yellow = 30"
2938,"blue = 10, green = 40, red = 30, yellow = 40"
2939,"blue = 10, green = 40, red = 30, yellow = 50"
2940,"blue = 10, green = 50, purple = 10, red = 30"
2941,"blue = 10, green = 50, purple = 20, red = 30"
2942,"blue = 10, green = 50, purple = 30, red = 30"
2943,"blue = 10, green = 50, purple = 40, red = 30"
2944,"blue = 10, green = 50, purple = 50, red = 30"
2945,"blue = 10, green = 50, red = 30, yellow = 10"
2946,"blue = 10, green = 50, red = 30, yellow = 20"
2947,"blue = 10, green = 50, red = 30, yellow = 30"
2948,"blue = 10, green = 50, red = 30, yellow = 40"
2949,"blue = 10, green = 50, red = 30, yellow = 50"
2950,"blue = 10, purple = 10, red = 30, yellow = 10"
2951,"blue = 10, purple = 10, red = 30, yellow = 20"
2952,"blue = 10, purple = 10, red = 30, yellow = 30"
2953,"blue = 10, purple = 10, red = 30, yellow = 40"
2954,"blue = 10, purple = 10, red = 30, yellow = 50"
2955,"blue = 10, purple = 20, red = 30, yellow = 10"
2956,"blue = 10, purple = 20, red = 30, yellow = 20"
2957,"blue = 10, purple = 20, red = 30, yellow = 30"
2958,"blue = 10, purple = 20, red = 30, yellow = 40"
2959,"blue = 10, purple = 20, red = 30, yellow = 50"
2960,"blue = 10, purple = 30, red = 30, yellow = 10"
2961,"blue = 10, purple = 30, red = 30, yellow = 20"
2962,"blue = 10, purple = 30, red = 30, yellow = 30"
2963,"blue = 10, purple = 30, red = 30, yellow = 40"
2964,"blue = 10, purple = 30, red = 30, yellow = 50"
2965,"blue = 10, purple = 40, red = 30, yellow = 10"
2966,"blue = 10, purple = 40, red = 30, yellow = 20"
2967,"blue = 10, purple = 40, red = 30, yellow = 30"
2968,"blue = 10, purple = 40, red = 30, yellow = 40"
2969,"blue = 10, purple = 40, red = 30, yellow = 50"
2970,"blue = 10, purple = 50, red = 30, yellow = 10"
2971,"blue = 10, purple = 50, red = 30, yellow = 20"
2972,"blue = 10, purple = 50, red = 30, yellow = 30"
2973,"blue = 10, purple = 50, red = 30, yellow = 40"
2974,"blue = 10, purple = 50, red = 30, yellow = 50"
2975,"blue = 20, green = 10, purple = 10, red = 30"
2976,"blue = 20, green = 10, purple = 20, red = 30"
2977,"blue = 20, green = 10, purple = 30, red = 30"
2978,"blue = 20, green = 10, purple = 40, red = 30"
2979,"blue = 20, green = 10, purple = 50, red = 30"
2980,"blue = 20, green = 10, red = 30, yellow = 10"
2981,"blue = 20, green = 10, red = 30, yellow = 20"
2982,"blue = 20, green = 10, red = 30, yellow = 30"
2983,"blue = 20, green = 10, red = 30, yellow = 40"
2984,"blue = 20, green = 10, red = 30, yellow = 50"
2985,"blue = 20, green = 20, purple = 10, red = 30"
2986,"blue = 20, green = 20, purple = 20, red = 30"
2987,"blue = 20, green = 20, purple = 30, red = 30"
2988,"blue = 20, green = 20, purple = 40, red = 30"
2989,"blue = 20, green = 20, purple = 50, red = 30"
2990,"blue = 20, green = 20, red = 30, yellow = 10"
2991,"blue = 20, green = 20, red = 30, yellow = 20"
2992,"blue = 20, green = 20, red = 30, yellow = 30"
2993,"blue = 20, green = 20, red = 30, yellow = 40"
2994,"blue = 20, green = 20, red = 30, yellow = 50"
2995,"blue = 20, green = 30, purple = 10, red = 30"
2996,"blue = 20, green = 30, purple = 20, red = 30"
2997,"blue = 20, green = 30, purple = 30, red = 30"
2998,"blue = 20, green = 30, purple = 40, red = 30"
2999,"blue = 20, green = 30, purple = 50, red = 30"
3000,"blue = 20, green = 30, red = 30, yellow = 10"
3001,"blue = 20, green = 30, red = 30, yellow = 20"
3002,"blue = 20, green = 30, red = 30, yellow = 30"
3003,"blue = 20, green = 30, red = 30, yellow = 40"
3004,"blue = 20, green = 30, red = 30, yellow = 50"
3005,"blue = 20, green = 40, purple = 10, red = 30"
3006,"blue = 20, green = 40, purple = 20, red = 30"
3007,"blue = 20, green = 40, purple = 30, red = 30"
3008,"blue = 20, green = 40, purple = 40, red = 30"
3009,"blue = 20, green = 40, purple = 50, red = 30"
3010,"blue = 20, green = 40, red = 30, yellow = 10"
3011,"blue = 20, green = 40, red = 30, yellow = 20"
3012,"blue = 20, green = 40, red = 30, yellow = 30"
3013,"blue = 20, green = 40, red = 30, yellow = 40"
3014,"blue = 20, green = 40, red = 30, yellow = 50"
3015,"blue = 20, green = 50, purple = 10, red = 30"
3016,"blue = 20, green = 50, purple = 20, red = 30"
3017,"blue = 20, green = 50, purple = 30, red = 30"
3018,"blue = 20, green = 50, purple = 40, red = 30"
3019,"blue = 20, green = 50, purple = 50, red = 30"
3020,"blue = 20, green = 50, red = 30, yellow = 10"
3021,"blue = 20, green = 50, red = 30, yellow = 20"
3022,"blue = 20, green = 50, red = 30, yellow = 30"
3023,"blue = 20, green = 50, red = 30, yellow = 40"
3024,"blue = 20, green = 50, red = 30, yellow = 50"
3025,"blue = 20, purple = 10, red = 30, yellow = 10"
3026,"blue = 20, purple = 10, red = 30, yellow = 20"
3027,"blue = 20, purple = 10, red = 30, yellow = 30"
3028,"blue = 20, purple = 10, red = 30, yellow = 40"
3029,"blue = 20, purple = 10, red = 30, yellow = 50"
3030,"blue = 20, purple = 20, red = 30, yellow = 10"
3031,"blue = 20, purple = 20, red = 30, yellow = 20"
3032,"blue = 20, purple = 20, red = 30, yellow = 30"
3033,"blue = 20, purple = 20, red = 30, yellow = 40"
3034,"blue = 20, purple = 20, red = 30, yellow = 50"
3035,"blue = 20, purple = 30, red = 30, yellow = 10"
3036,"blue = 20, purple = 30, red = 30, yellow = 20"
3037,"blue = 20, purple = 30, red = 30, yellow = 30"
3038,"blue = 20, purple = 30, red = 30, yellow = 40"
3039,"blue = 20, purple = 30, red = 30, yellow = 50"
3040,"blue = 20, purple = 40, red = 30, yellow = 10"
3041,"blue = 20, purple = 40, red = 30, yellow = 20"
3042,"blue = 20, purple = 40, red = 30, yellow = 30"
3043,"blue = 20, purple = 40, red = 30, yellow = 40"
3044,"blue = 20, purple = 40, red = 30, yellow = 50"
3045,"blue = 20, purple = 50, red = 30, yellow = 10"
3046,"blue = 20, purple = 50, red = 30, yellow = 20"
3047,"blue = 20, purple = 50, red = 30, yellow = 30"
3048,"blue = 20, purple = 50, red = 30, yellow = 40"
3049,"blue = 20, purple = 50, red = 30, yellow = 50"
3050,"blue = 30, green = 10, purple = 10, red = 30"
3051,"blue = 30, green = 10, purple = 20, red = 30"
3052,"blue = 30, green = 10, purple = 30, red = 30"
3053,"blue = 30, green = 10, purple = 40, red = 30"
3054,"blue = 30, green = 10, purple = 50, red = 30"
3055,"blue = 30, green = 10, red = 30, yellow = 10"
3056,"blue = 30, green = 10, red = 30, yellow = 20"
3057,"blue = 30, green = 10, red = 30, yellow = 30"
3058,"blue = 30, green = 10, red = 30, yellow = 40"
3059,"blue = 30, green = 10, red = 30, yellow = 50"
3060,"blue = 30, green = 20, purple = 10, red = 30"
3061,"blue = 30, green = 20, purple = 20, red = 30"
3062,"blue = 30, green = 20, purple = 30, red = 30"
3063,"blue = 30, green = 20, purple = 40, red = 30"
3064,"blue = 30, green = 20, purple = 50, red = 30"
3065,"blue = 30, green = 20, red = 30, yellow = 10"
3066,"blue = 30, green = 20, red = 30, yellow = 20"
3067,"blue = 30, green = 20, red = 30, yellow = 30"
3068,"blue = 30, green = 20, red = 30, yellow = 40"
3069,"blue = 30, green = 20, red = 30, yellow = 50"
3070,"blue = 30, green = 30, purple = 10, red = 30"
3071,"blue = 30, green = 30, purple = 20, red = 30"
3072,"blue = 30, green = 30, purple = 30, red = 30"
3073,"blue = 30, green = 30, purple = 40, red = 30"
3074,"blue = 30, green = 30, purple = 50, red = 30"
3075,"blue = 30, green = 30, red = 30, yellow = 10"
3076,"blue = 30, green = 30, red = 30, yellow = 20"
3077,"blue = 30, green = 30, red = 30, yellow = 30"
3078,"blue = 30, green = 30, red = 30, yellow = 40"
3079,"blue = 30, green = 30, red = 30, yellow = 50"
3080,"blue = 30, green = 40, purple = 10, red = 30"
3081,"blue = 30, green = 40, purple = 20, red = 30"
3082,"blue = 30, green = 40, purple = 30, red = 30"
3083,"blue = 30, green = 40, purple = 40, red = 30"
3084,"blue = 30, green = 40, purple = 50, red = 30"
3085,"blue = 30, green = 40, red = 30, yellow = 10"
3086,"blue = 30, green = 40, red = 30, yellow = 20"
3087,"blue = 30, green = 40, red = 30, yellow = 30"
3088,"blue = 30, green = 40, red = 30, yellow = 40"
3089,"blue = 30, green = 40, red = 30, yellow = 50"
3090,"blue = 30, green = 50, purple = 10, red = 30"
3091,"blue = 30, green = 50, purple = 20, red = 30"
3092,"blue = 30, green = 50, purple = 30, red = 30"
3093,"blue = 30, green = 50, purple = 40, red = 30"
3094,"blue = 30, green = 50, purple = 50, red = 30"
3095,"blue = 30, green = 50, red = 30, yellow = 10"
3096,"blue = 30, green = 50, red = 30, yellow = 20"
3097,"blue = 30, green = 50, red = 30, yellow = 30"
3098,"blue = 30, green = 50, red = 30, yellow = 40"
3099,"blue = 30, green = 50, red = 30, yellow = 50"
3100,"blue = 30, purple = 10, red = 30, yellow = 10"
3101,"blue = 30, purple = 10, red = 30, yellow = 20"
3102,"blue = 30, purple = 10, red = 30, yellow = 30"
3103,"blue = 30, purple = 10, red = 30, yellow = 40"
3104,"blue = 30, purple = 10, red = 30, yellow = 50"
3105,"blue = 30, purple = 20, red = 30, yellow = 10"
3106,"blue = 30, purple = 20, red = 30, yellow = 20"
3107,"blue = 30, purple = 20, red = 30, yellow = 30"
3108,"blue = 30, purple = 20, red = 30, yellow = 40"
3109,"blue = 30, purple = 20, red = 30, yellow = 50"
3110,"blue = 30, purple = 30, red = 30, yellow = 10"
3111,"blue = 30, purple = 30, red = 30, yellow = 20"
3112,"blue = 30, purple = 30, red = 30, yellow = 30"
3113,"blue = 30, purple = 30, red = 30, yellow = 40"
3114,"blue = 30, purple = 30, red = 30, yellow = 50"
3115,"blue = 30, purple = 40, red = 30, yellow = 10"
3116,"blue = 30, purple = 40, red = 30, yellow = 20"
3117,"blue = 30, purple = 40, red = 30, yellow = 30"
3118,"blue = 30, purple = 40, red = 30, yellow = 40"
3119,"blue = 30, purple = 40, red = 30, yellow = 50"
3120,"blue = 30, purple = 50, red = 30, yellow = 10"
3121,"blue = 30, purple = 50, red = 30, yellow = 20"
3122,"blue = 30, purple = 50, red = 30, yellow = 30"
3123,"blue = 30, purple = 50, red = 30, yellow = 40"
3124,"blue = 30, purple = 50, red = 30, yellow = 50"
3125,"blue = 40, green = 10, purple = 10, red = 30"
3126,"blue = 40, green = 10, purple = 20, red = 30"
3127,"blue = 40, green = 10, purple = 30, red = 30"
3128,"blue = 40, green = 10, purple = 40, red = 30"
3129,"blue = 40, green = 10, purple = 50, red = 30"
3130,"blue = 40, green = 10, red = 30, yellow = 10"
3131,"blue = 40, green = 10, red = 30, yellow = 20"
3132,"blue = 40, green = 10, red = 30, yellow = 30"
3133,"blue = 40, green = 10, red = 30, yellow = 40"
3134,"blue = 40, green = 10, red = 30, yellow = 50"
3135,"blue = 40, green = 20, purple = 10, red = 30"
3136,"blue = 40, green = 20, purple = 20, red = 30"
3137,"blue = 40, green = 20, purple = 30, red = 30"
3138,"blue = 40, green = 20, purple = 40, red = 30"
3139,"blue = 40, green = 20, purple = 50, red = 30"
3140,"blue = 40, green = 20, red = 30, yellow = 10"
3141,"blue = 40, green = 20, red = 30, yellow = 20"
3142,"blue = 40, green = 20, red = 30, yellow = 30"
3143,"blue = 40, green = 20, red = 30, yellow = 40"
3144,"blue = 40, green = 20, red = 30, yellow = 50"
3145,"blue = 40, green = 30, purple = 10, red = 30"
3146,"blue = 40, green = 30, purple = 20, red = 30"
3147,"blue = 40, green = 30, purple = 30, red = 30"
3148,"blue = 40, green = 30, purple = 40, red = 30"
3149,"blue = 40, green = 30, purple = 50, red = 30"
3150,"blue = 40, green = 30, red = 30, yellow = 10"
3151,"blue = 40, green = 30, red = 30, yellow = 20"
3152,"blue = 40, green = 30, red = 30, yellow = 30"
3153,"blue = 40, green = 30, red = 30, yellow = 40"
3154,"blue = 40, green = 30, red = 30, yellow = 50"
3155,"blue = 40, green = 40, purple = 10, red = 30"
3156,"blue = 40, green = 40, purple = 20, red = 30"
3157,"blue = 40, green = 40, purple = 30, red = 30"
3158,"blue = 40, green = 40, purple = 40, red = 30"
3159,"blue = 40, green = 40, purple = 50, red = 30"
3160,"blue = 40, green = 40, red = 30, yellow = 10"
3161,"blue = 40, green = 40, red = 30, yellow = 20"
3162,"blue = 40, green = 40, red = 30, yellow = 30"
3163,"blue = 40, green = 40, red = 30, yellow = 40"
3164,"blue = 40, green = 40, red = 30, yellow = 50"
3165,"blue = 40, green = 50, purple = 10, red = 30"
3166,"blue = 40, green = 50, purple = 20, red = 30"
3167,"blue = 40, green = 50, purple = 30, red = 30"
3168,"blue = 40, green = 50, purple = 40, red = 30"
3169,"blue = 40, green = 50, purple = 50, red = 30"
3170,"blue = 40, green = 50, red = 30, yellow = 10"
3171,"blue = 40, green = 50, red = 30, yellow = 20"
3172,"blue = 40, green = 50, red = 30, yellow = 30"
3173,"blue = 40, green = 50, red = 30, yellow = 40"
3174,"blue = 40, green = 50, red = 30, yellow = 50"
3175,"blue = 40, purple = 10, red = 30, yellow = 10"
3176,"blue = 40, purple = 10, red = 30, yellow = 20"
3177,"blue = 40, purple = 10, red = 30, yellow = 30"
3178,"blue = 40, purple = 10, red = 30, yellow = 40"
3179,"blue = 40, purple = 10, red = 30, yellow = 50"
3180,"blue = 40, purple = 20, red = 30, yellow = 10"
3181,"blue = 40, purple = 20, red = 30, yellow = 20"
3182,"blue = 40, purple = 20, red = 30, yellow = 30"
3183,"blue = 40, purple = 20, red = 30, yellow = 40"
3184,"blue = 40, purple = 20, red = 30, yellow = 50"
3185,"blue = 40, purple = 30, red = 30, yellow = 10"
3186,"blue = 40, purple = 30, red = 30, yellow = 20"
3187,"blue = 40, purple = 30, red = 30, yellow = 30"
3188,"blue = 40, purple = 30, red = 30, yellow = 40"
3189,"blue = 40, purple = 30, red = 30, yellow = 50"
3190,"blue = 40, purple = 40, red = 30, yellow = 10"
3191,"blue = 40, purple = 40, red = 30, yellow = 20"
3192,"blue = 40, purple = 40, red = 30, yellow = 30"
3193,"blue = 40, purple = 40, red = 30, yellow = 40"
3194,"blue = 40, purple = 40, red = 30, yellow = 50"
3195,"blue = 40, purple = 50, red = 30, yellow = 10"
3196,"blue = 40, purple = 50, red = 30, yellow = 20"
3197,"blue = 40, purple = 50, red = 30, yellow = 30"
3198,"blue = 40, purple = 50, red = 30, yellow = 40"
3199,"blue = 40, purple = 50, red = 30, yellow = 50"
3200,"blue = 50, green = 10, purple = 10, red = 30"
3201,"blue = 50, green = 10, purple = 20, red = 30"
3202,"blue = 50, green = 10, purple = 30, red = 30"
3203,"blue = 50, green = 10, purple = 40, red = 30"
3204,"blue = 50, green = 10, purple = 50, red = 30"
3205,"blue = 50, green = 10, red = 30, yellow = 10"
3206,"blue = 50, green = 10, red = 30, yellow = 20"
3207,"blue = 50, green = 10, red = 30, yellow = 30"
3208,"blue = 50, green = 10, red = 30, yellow = 40"
3209,"blue = 50, green = 10, red = 30, yellow = 50"
3210,"blue = 50, green = 20, purple = 10, red = 30"
3211,"blue = 50, green = 20, purple = 20, red = 30"
3212,"blue = 50, green = 20, purple = 30, red = 30"
3213,"blue = 50, green = 20, purple = 40, red = 30"
3214,"blue = 50, green = 20, purple = 50, red = 30"
3215,"blue = 50, green = 20, red = 30, yellow = 10"
3216,"blue = 50, green = 20, red = 30, yellow = 20"
3217,"blue = 50, green = 20, red = 30, yellow = 30"
3218,"blue = 50, green = 20, red = 30, yellow = 40"
3219,"blue = 50, green = 20, red = 30, yellow = 50"
3220,"blue = 50, green = 30, purple = 10, red = 30"
3221,"blue = 50, green = 30, purple = 20, red = 30"
3222,"blue = 50, green = 30, purple = 30, red = 30"
3223,"blue = 50, green = 30, purple = 40, red = 30"
3224,"blue = 50, green = 30, purple = 50, red = 30"
3225,"blue = 50, green = 30, red = 30, yellow = 10"
3226,"blue = 50, green = 30, red = 30, yellow = 20"
3227,"blue = 50, green = 30, red = 30, yellow = 30"
3228,"blue = 50, green = 30, red = 30, yellow = 40"
3229,"blue = 50, green = 30, red = 30, yellow = 50"
3230,"blue = 50, green = 40, purple = 10, red = 30"
3231,"blue = 50, green = 40, purple = 20, red = 30"
3232,"blue = 50, green = 40, purple = 30, red = 30"
3233,"blue = 50, green = 40, purple = 40, red = 30"
3234,"blue = 50, green = 40, purple = 50, red = 30"
3235,"blue = 50, green = 40, red = 30, yellow = 10"
3236,"blue = 50, green = 40, red = 30, yellow = 20"
3237,"blue = 50, green = 40, red = 30, yellow = 30"
3238,"blue = 50, green = 40, red = 30, yellow = 40"
3239,"blue = 50, green = 40, red = 30, yellow = 50"
3240,"blue = 50, green = 50, purple = 10, red = 30"
3241,"blue = 50, green = 50, purple = 20, red = 30"
3242,"blue = 50, green = 50, purple = 30, red = 30"
3243,"blue = 50, green = 50, purple = 40, red = 30"
3244,"blue = 50, green = 50, purple = 50, red = 30"
3245,"blue = 50, green = 50, red = 30, yellow = 10"
3246,"blue = 50, green = 50, red = 30, yellow = 20"
3247,"blue = 50, green = 50, red = 30, yellow = 30"
3248,"blue = 50, green = 50, red = 30, yellow = 40"
3249,"blue = 50, green = 50, red = 30, yellow = 50"
3250,"blue = 50, purple = 10, red = 30, yellow = 10"
3251,"blue = 50, purple = 10, red = 30, yellow = 20"
3252,"blue = 50, purple = 10, red = 30, yellow = 30"
3253,"blue = 50, purple = 10, red = 30, yellow = 40"
3254,"blue = 50, purple = 10, red = 30, yellow = 50"
3255,"blue = 50, purple = 20, red = 30, yellow = 10"
3256,"blue = 50, purple = 20, red = 30, yellow = 20"
3257,"blue = 50, purple = 20, red = 30, yellow = 30"
3258,"blue = 50, purple = 20, red = 30, yellow = 40"
3259,"blue = 50, purple = 20, red = 30, yellow = 50"
3260,"blue = 50, purple = 30, red = 30, yellow = 10"
3261,"blue = 50, purple = 30, red = 30, yellow = 20"
3262,"blue = 50, purple = 30, red = 30, yellow = 30"
3263,"blue = 50, purple = 30, red = 30, yellow = 40"
3264,"blue = 50, purple = 30, red = 30, yellow = 50"
3265,"blue = 50, purple = 40, red = 30, yellow = 10"
3266,"blue = 50, purple = 40, red = 30, yellow = 20"
3267,"blue = 50, purple = 40, red = 30, yellow = 30"
3268,"blue = 50, purple = 40, red = 30, yellow = 40"
3269,"blue = 50, purple = 40, red = 30, yellow = 50"
3270,"blue = 50, purple = 50, red = 30, yellow = 10"
3271,"blue = 50, purple = 50, red = 30, yellow = 20"
3272,"blue = 50, purple = 50, red = 30, yellow = 30"
3273,"blue = 50, purple = 50, red = 30, yellow = 40"
3274,"blue = 50, purple = 50, red = 30, yellow = 50"
3275,"green = 10, purple = 10, red = 30, yellow = 10"
3276,"green = 10, purple = 10, red = 30, yellow = 20"
3277,"green = 10, purple = 10, red = 30, yellow = 30"
3278,"green = 10, purple = 10, red = 30, yellow = 40"
3279,"green = 10, purple = 10, red = 30, yellow = 50"
3280,"green = 10, purple = 20, red = 30, yellow = 10"
3281,"green = 10, purple = 20, red = 30, yellow = 20"
3282,"green = 10, purple = 20, red = 30, yellow = 30"
3283,"green = 10, purple = 20, red = 30, yellow = 40"
3284,"green = 10, purple = 20, red = 30, yellow = 50"
3285,"green = 10, purple = 30, red = 30, yellow = 10"
3286,"green = 10, purple = 30, red = 30, yellow = 20"
3287,"green = 10, purple = 30, red = 30, yellow = 30"
3288,"green = 10, purple = 30, red = 30, yellow = 40"
3289,"green = 10, purple = 30, red = 30, yellow = 50"
3290,"green = 10, purple = 40, red = 30, yellow = 10"
3291,"green = 10, purple = 40, red = 30, yellow = 20"
3292,"green = 10, purple = 40, red = 30, yellow = 30"
3293,"green = 10, purple = 40, red = 30, yellow = 40"
3294,"green = 10, purple = 40, red = 30, yellow = 50"
3295,"green = 10, purple = 50, red = 30, yellow = 10"
3296,"green = 10, purple = 50, red = 30, yellow = 20"
3297,"green = 10, purple = 50, red = 30, yellow = 30"
3298,"green = 10, purple = 50, red = 30, yellow = 40"
3299,"green = 10, purple = 50, red = 30, yellow = 50"
3300,"green = 20, purple = 10, red = 30, yellow = 10"
3301,"green = 20, purple = 10, red = 30, yellow = 20"
3302,"green = 20, purple = 10, red = 30, yellow = 30"
3303,"green = 20, purple = 10, red = 30, yellow = 40"
3304,"green = 20, purple = 10, red = 30, yellow = 50"
3305,"green = 20, purple = 20, red = 30, yellow = 10"
3306,"green = 20, purple = 20, red = 30, yellow = 20"
3307,"green = 20, purple = 20, red = 30, yellow = 30"
3308,"green = 20, purple = 20, red = 30, yellow = 40"
3309,"green = 20, purple = 20, red = 30, yellow = 50"
3310,"green = 20, purple = 30, red = 30, yellow = 10"
3311,"green = 20, purple = 30, red = 30, yellow = 20"
3312,"green = 20, purple = 30, red = 30, yellow = 30"
3313,"green = 20, purple = 30, red = 30, yellow = 40"
3314,"green = 20, purple = 30, red = 30, yellow = 50"
3315,"green = 20, purple = 40, red = 30, yellow = 10"
3316,"green = 20, purple = 40, red = 30, yellow = 20"
3317,"green = 20, purple = 40, red = 30, yellow = 30"
3318,"green = 20, purple = 40, red = 30, yellow = 40"
3319,"green = 20, purple = 40, red = 30, yellow = 50"
3320,"green = 20, purple = 50, red = 30, yellow = 10"
3321,"green = 20, purple = 50, red = 30, yellow = 20"
3322,"green = 20, purple = 50, red = 30, yellow = 30"
3323,"green = 20, purple = 50, red = 30, yellow = 40"
3324,"green = 20, purple = 50, red = 30, yellow = 50"
3325,"green = 30, purple = 10, red = 30, yellow = 10"
3326,"green = 30, purple = 10, red = 30, yellow = 20"
3327,"green = 30, purple = 10, red = 30, yellow = 30"
3328,"green = 30, purple = 10, red = 30, yellow = 40"
3329,"green = 30, purple = 10, red = 30, yellow = 50"
3330,"green = 30, purple = 20, red = 30, yellow = 10"
3331,"green = 30, purple = 20, red = 30, yellow = 20"
3332,"green = 30, purple = 20, red = 30, yellow = 30"
3333,"green = 30, purple = 20, red = 30, yellow = 40"
3334,"green = 30, purple = 20, red = 30, yellow = 50"
3335,"green = 30, purple = 30, red = 30, yellow = 10"
3336,"green = 30, purple = 30, red = 30, yellow = 20"
3337,"green = 30, purple = 30, red = 30, yellow = 30"
3338,"green = 30, purple = 30, red = 30, yellow = 40"
3339,"green = 30, purple = 30, red = 30, yellow = 50"
3340,"green = 30, purple = 40, red = 30, yellow = 10"
3341,"green = 30, purple = 40, red = 30, yellow = 20"
3342,"green = 30, purple = 40, red = 30, yellow = 30"
3343,"green = 30, purple = 40, red = 30, yellow = 40"
3344,"green = 30, purple = 40, red = 30, yellow = 50"
3345,"green = 30, purple = 50, red = 30, yellow = 10"
3346,"green = 30, purple = 50, red = 30, yellow = 20"
3347,"green = 30, purple = 50, red = 30, yellow = 30"
3348,"green = 30, purple = 50, red = 30, yellow = 40"
3349,"green = 30, purple = 50, red = 30, yellow = 50"
3350,"green = 40, purple = 10, red = 30, yellow = 10"
3351,"green = 40, purple = 10, red = 30, yellow = 20"
3352,"green = 40, purple = 10, red = 30, yellow = 30"
3353,"green = 40, purple = 10, red = 30, yellow = 40"
3354,"green = 40, purple = 10, red = 30, yellow = 50"
3355,"green = 40, purple = 20, red = 30, yellow = 10"
3356,"green = 40, purple = 20, red = 30, yellow = 20"
3357,"green = 40, purple = 20, red = 30, yellow = 30"
3358,"green = 40, purple = 20, red = 30, yellow = 40"
3359,"green = 40, purple = 20, red = 30, yellow = 50"
3360,"green = 40, purple = 30, red = 30, yellow = 10"
3361,"green = 40, purple = 30, red = 30, yellow = 20"
3362,"green = 40, purple = 30, red = 30, yellow = 30"
3363,"green = 40, purple = 30, red = 30, yellow = 40"
3364,"green = 40, purple = 30, red = 30, yellow = 50"
3365,"green = 40, purple = 40, red = 30, yellow = 10"
3366,"green = 40, purple = 40, red = 30, yellow = 20"
3367,"green = 40, purple = 40, red = 30, yellow = 30"
3368,"green = 40, purple = 40, red = 30, yellow = 40"
3369,"green = 40, purple = 40, red = 30, yellow = 50"
3370,"green = 40, purple = 50, red = 30, yellow = 10"
3371,"green = 40, purple = 50, red = 30, yellow = 20"
3372,"green = 40, purple = 50, red = 30, yellow = 30"
3373,"green = 40, purple = 50, red = 30, yellow = 40"
3374,"green = 40, purple = 50, red = 30, yellow = 50"
3375,"green = 50, purple = 10, red = 30, yellow = 10"
3376,"green = 50, purple = 10, red = 30, yellow = 20"
3377,"green = 50, purple = 10, red = 30, yellow = 30"
3378,"green = 50, purple = 10, red = 30, yellow = 40"
3379,"green = 50, purple = 10, red = 30, yellow = 50"
3380,"green = 50, purple = 20, red = 30, yellow = 10"
3381,"green = 50, purple = 20, red = 30, yellow = 20"
3382,"green = 50, purple = 20, red = 30, yellow = 30"
3383,"green = 50, purple = 20, red = 30, yellow = 40"
3384,"green = 50, purple = 20, red = 30, yellow = 50"
3385,"green = 50, purple = 30, red = 30, yellow = 10"
3386,"green = 50, purple = 30, red = 30, yellow = 20"
3387,"green = 50, purple = 30, red = 30, yellow = 30"
3388,"green = 50, purple = 30, red = 30, yellow = 40"
3389,"green = 50, purple = 30, red = 30, yellow = 50"
3390,"green = 50, purple = 40, red = 30, yellow = 10"
3391,"green = 50, purple = 40, red = 30, yellow = 20"
3392,"green = 50, purple = 40, red = 30, yellow = 30"
3393,"green = 50, purple = 40, red = 30, yellow = 40"
3394,"green = 50, purple = 40, red = 30, yellow = 50"
3395,"green = 50, purple = 50, red = 30, yellow = 10"
3396,"green = 50, purple = 50, red = 30, yellow = 20"
3397,"green = 50, purple = 50, red = 30, yellow = 30"
3398,"green = 50, purple = 50, red = 30, yellow = 40"
3399,"green = 50, purple = 50, red = 30, yellow = 50"
3400,"blue = 10, green = 10, purple = 10, red = 40"
3401,"blue = 10, green = 10, purple = 20, red = 40"
3402,"blue = 10, green = 10, purple = 30, red = 40"
3403,"blue = 10, green = 10, purple = 40, red = 40"
3404,"blue = 10, green = 10, purple = 50, red = 40"
